제목,줄거리
참교육,"이 작품은 교권보호국을 중심으로 다양한 학교폭력, 교육적 문제, 사회적 이슈를 다룬 여러 에피소드로 구성된다. 첫 번째 에피소드에서는 학교에서 벌어진 학생 자살 사건을 시작으로, 괴롭힘, 가해자 처벌 문제, 교사와 학생 간의 갈등 등을 조명한다. 이어지는 에피소드에서는 학교 내 서열과 폭력, 학부모 갑질, 촉법소년 범죄, 사이비 종교 문제 등을 탐구하며, 각 에피소드는 특정 사회적 문제를 중점적으로 다룬다. 그 외에도 SNS 폭행, 미성년자 조폭, 기간제 교사 폭행, 교육부 갑질 사건 등 다양한 사회적 논란을 중심으로 이야기가 전개된다. 작품은 교권 보호와 교육권 침해 문제를 심도 있게 다루며, 각 사건은 교권보호국의 개입을 통해 해결되거나 반전이 일어난다."
환생천마,"무림맹주이자 최강자로 군림했던 주인공은 어느 날, 아무런 예고 없이 의자에 앉아 영문도 모른 채 목숨을 잃게 된다. 그가 눈을 뜬 곳은 과거의 시간, 다른 모습 그리고 자신은 망나니 아들로 환생한 모습이었다. 그가 기억을 하기 전의 가문은 그의 폭행과 방탕으로 점차 쇠퇴하고 있었고, 그는 그 속에서 더 큰 난관에 봉착하게 된다. 빚에 허덕이게 된것이다. 그러나 주인공은 다시 살아난 이 기회를 통해 자신의 과거를 알게되고, 조금씩 변화를 시작한다. 각성한 그는 과거의 실수를 해결하고, 점차 자신의 지역을 확고히 잡으며, 강호의 판도를 바꾸기 위한 힘을 키워간다. 또한 자신의 미심쩍은 죽음에 대해서 캐기 시작한다. 모종의 음모를 발견하게 되고. 그것을 해결하기위해서 고군분투하는 내용."
절대검감,"혈교에 납치되어 첩자로 살아온 소운휘는, 우연히 전설적인 검수의 기록인 <검선비록>을 손에 넣고, 이를 통해 무공을 배우며 성장한다. 하지만 음모에 빠져 죽음을 맞이하게 되지만, 10년 전 혈교에 납치되기 전으로 회귀하게 된다. 이번 생에서는 과거의 삶을 반복하지 않겠다고 다짐하고, 검의 목소리를 듣는 능력을 얻은 후, 과거와는 다른 선택을 하며 운명을 바꿔 나간다. 그의 목표는 혈교에서 만든 혈고를 제거하고, 다시 정파의 명문가 자식으로 돌아가는 것이다."
똑 닮은 딸,"똑 닮은 딸은 주인공 길소명이 엄마에게 복수하기 위해 그녀의 삶을 철저히 모방하며 점차 파멸해가는 이야기를 다룹니다. 소명은 엄마의 일거수일투족을 따라하며 주변 사람들을 조종하고 자신에게 유리한 상황을 만들지만, 복수극은 점차 그녀를 궁지로 몰고 가며 진실과 마주하게 됩니다. 작품은 복수라는 주제와 함께 가족, 정체성, 인간의 심리에 대한 깊은 질문을 던집니다. 치밀한 스토리와 긴장감 넘치는 전개, 입체적인 인물 묘사가 돋보이며, 2020년대 네이버 웹툰에서 큰 인기를 끌었습니다. 2부에 걸쳐 연재되며 많은 팬들의 사랑을 받았고, 결말에 대한 궁금증이 독자들을 끌어들였습니다."
백수세끼,"백수세끼는 7년 간의 연애 후 이별을 경험한 주인공 재호가 백수로서의 삶을 살아가며, 음식과 함께 과거의 연애를 되돌아보는 이야기를 그립니다. 재호는 여자친구 수정과의 이별 후, 일상에서 음식과 마주할 때마다 그와 관련된 추억들이 떠오르며 심경의 변화를 겪습니다. 하지만 그는 여전히 왜 헤어졌는지에 대한 이유를 알지 못한 채, 그 상처를 안고 살아갑니다. 백수로 지내던 중, 재호는 배달 아르바이트를 하게 되고, 그곳에서 수정의 회사 후배인 은호를 만납니다. 은호는 재호에게 호감을 느끼고, 재호 역시 처음에는 그저 아르바이트로서 은호와의 관계를 이어나가지만, 점차 은호의 진심에 마음이 움직입니다. 음식은 재호에게 그저 배를 채우는 수단이 아닌, 과거의 아픔과 추억을 떠올리게 하는 중요한 역할을 합니다. 음식 한 끼를 먹으며 그때의 행복했던 순간들부터, 이별의 아픔까지 되새기며 재호는 서서히 자신의 감정을 정리하고 성장해 가는 과정을 보여줍니다. 각 에피소드는 음식과 연관된 과거의 연애 이야기를 중심으로 진행되며, 이를 통해 재호의 감정의 변화와 성장이 감동적으로 그려집니다. ""백수세끼""는 음식과 연애의 추억을 엮어가며, 이별 후 상처받은 마음이 조금씩 치유되는 과정을 진지하게 묘사한 작품입니다. 이를 통해 독자들은 주인공의 성장과 함께, 인생의 어려운 순간들을 어떻게 극복할 수 있는지에 대한 메시지를 전달받게 됩니다."
소녀의 세계,"《소녀의 세계》는 주인공 오나리가 외모 변화로 자존감이 낮아지고 친구들과의 갈등을 겪으며 성장하는 이야기를 담고 있습니다. 다이어트 후 예뻐진 오나리는 친구들 사이에서 점점 소외감을 느끼고, 자신을 잃어가지만, 친구 임유나, 임선지, 서미래와의 관계에서 갈등과 오해를 겪으며 진정한 우정의 의미를 찾아갑니다. 각기 다른 성격을 가진 친구들과의 갈등을 통해 서로를 이해하고, 진정한 자신을 발견하는 과정을 그린 이 작품은 우정과 성장의 중요성을 강조하며 독자들에게 큰 공감을 불러일으킵니다."
마음의 소리,"《마음의 소리》는 조석 작가와 그의 가족, 친구, 지인들을 중심으로 한 일상에서 벌어지는 코믹한 에피소드를 다룬 웹툰입니다. 작품은 독특한 상상력과 개그 코드를 통해 일상적인 사건을 유머러스하게 풀어내며 독자들에게 웃음을 선사합니다. 때로는 진지한 이야기도 섞여 있어 감동적인 순간도 제공합니다. 이 웹툰의 주요 내용은 조석 작가 본인과 그의 주변 인물들이 겪는 일상적인 사건을 코믹한 시각으로 그린 것입니다. 가족 중심의 이야기가 주를 이루며, 조석의 부모님, 형, 그리고 여자친구 애봉이와의 에피소드가 많이 등장합니다. 각 인물들은 독특한 개성으로 웃음을 유발하며, 가족 간의 소소한 갈등과 사랑을 그려냅니다. 주요 등장인물 중 조석은 엉뚱하고 기발한 상상력을 지닌 웹툰 작가로, 종종 주변 사람들을 황당하게 만드는 역할을 합니다. 그의 형 조준은 조석과는 대조적으로 매우 평범하고 묵묵한 성격을 가진 인물입니다. 아버지 조철왕은 조석처럼 엉뚱한 면모를 보이며, 어머니 권정권은 잔소리가 많지만 깊은 속정을 지닌 캐릭터입니다. 또한, 조석의 여자친구 애봉이는 귀엽고 엉뚱한 매력을 지니고 있어 이야기의 재미를 더해줍니다. 이 웹툰은 단순한 일상 소재를 비틀고 과장하여 신선하고 폭소를 유발하는 유머 코드를 제공합니다. 또한, 네이버 웹툰에서 시즌제로 연재되며 인기를 끌었고, 나중에는 원작을 바탕으로 시트콤으로 각색되어 방송되기도 했습니다. 작품은 2024년 2월 21일부터 네이버 웹툰에서 시즌제로 연재되고 있으며, 이전에는 인스타그램을 통해 연재되었던 웹툰입니다."
귀촌리,"웹툰 ""귀촌리""는 주인공 허무명이 할머니의 집으로 돌아가 평화롭게 숨고 싶어 하는 이야기입니다. 허무명은 어릴 적 시골 마을 귀촌리에 살았으나, 여러 이유로 떠났습니다. 하지만 그는 이제 한적한 삶을 원하며 다시 그곳으로 돌아옵니다. 마을 사람들은 허무명을 반갑게 맞이하지만, 그는 그들과 깊은 관계를 맺고 싶지 않아 조용히 지내려 합니다. 그러나 허무명이 생각한 대로 평화로운 삶은 쉽게 찾아오지 않습니다. 마을 사람들은 그를 자꾸 끌어들이고, 그 과정에서 허무명은 여러 예상치 못한 사건들에 휘말리게 됩니다. 마을 내에 숨겨진 비밀들이 하나둘씩 드러나고, 허무명은 이 모든 사건 속에서 점점 더 중요한 역할을 하게 됩니다. 허무명은 겉보기에는 평범한 인물처럼 보이지만, 사실 그는 평범하지 않습니다. 사이코패스적 성향을 지닌 인물로 묘사되며, 그의 내면에는 냉정하고 감정 없는 면이 숨어 있습니다. 그런 그의 행동이 마을 사람들과 얽히면서 스릴러적인 분위기를 더욱 고조시킵니다. 이 마을은 이끼가 끼어 있는 오래된 폐쇄적인 느낌을 주며, 미스터리한 분위기를 자아냅니다. 이러한 배경에서 허무명은 점차 자신의 숨겨진 본성과 마주하게 되며, 그의 과거와 마을에서 벌어지는 사건들이 얽히는 복잡한 이야기가 펼쳐집니다. ""귀촌리""는 마을이라는 한정된 공간에서 벌어지는 심리적 갈등과 미스터리, 그리고 그로 인한 긴장감을 중심으로 전개됩니다."
시한부 천재가 살아남는 법,"시한부 천재가 살아남는 법은 무시무시한 재능을 지닌 주인공이 시한부 인생 속에서 살아남기 위해 고군분투하는 퓨전 무협 웹소설입니다. 주인공은 남다른 무술 실력을 가졌지만, 불행히도 시한부 판정을 받게 됩니다. 주어진 시간은 짧고, 그의 재능이 펼쳐질 수 있는 시간도 한정적이기에 그는 그 시간을 최대한 활용하려 애씁니다. 주인공은 자신의 운명을 극복하고 생존을 위해 무술을 더욱 갈고닦고, 여러 위험한 상황들을 헤쳐나가며 성장해 나갑니다. 그는 다양한 적들과 맞서 싸우고, 때로는 자신의 능력을 제한하는 환경 속에서 스스로를 극복해 나갑니다. 이를 통해 주인공은 더욱 강해지고, 각종 위기 속에서 점차 자신의 능력뿐만 아니라 내면적인 강인함을 키워 나갑니다. 이 소설은 주인공의 생존 투쟁을 중심으로 이야기가 전개되며, 그가 만나는 다양한 인물들과의 관계도 중요한 부분을 차지합니다. 주변 인물들과의 갈등, 동맹, 배신 등이 이야기의 긴장감을 더해주고, 각종 사건들은 독자들에게 몰입감을 선사합니다. 특히, 주인공의 뛰어난 재능과 시한부라는 설정이 결합되어, 매 장면마다 긴장감과 스릴을 느낄 수 있습니다. ""시한부 천재가 살아남는 법""은 주인공이 시간이라는 제한된 자원 속에서 싸우고 성장하는 과정을 그린 작품으로, 독자들에게 강렬한 감정의 롤러코스터와도 같은 재미를 선사합니다."
십이지 소녀,"십이지 소녀는 이우주가 고양이 신 니나에 의해 십이지 시합의 심판으로 임명되고, 100일 안에 십이지신들을 시합에 참가시켜야 하는 상황에 처하는 내용을 다룹니다. 이우주는 니나와 함께 십이지신들을 찾아 시합에 참여시키기 위한 여정을 시작합니다. 평범한 고등학생 이우주는 어느 날 갑자기 나타난 고양이 소녀 니나로부터 십이지 시합의 심판이 되어 달라는 제안을 받습니다. 니나는 십이지신들이 참가하는 시합을 열어야 하며, 이우주는 그 심판 역할을 맡게 된 것입니다. 시간은 100일. 제한된 시간 안에 십이지신들을 모두 모아야 합니다. 이우주는 니나와 함께 십이지신들을 찾아 나섭니다. 그 과정에서 다양한 개성과 능력을 가진 십이지신들을 만나고, 그들과 함께 시합에 참가하기 위한 훈련을 시작합니다. 또한, 시합을 방해하려는 세력과 맞서 싸우기도 합니다. 각 십이지신들의 독특한 개성과 사연, 그리고 이우주와 니나의 관계 변화, 시합을 둘러싼 음모 등이 흥미진진하게 펼쳐지면서 이야기가 전개됩니다."
